,Operador_Padronizado,Classificacao_da_Ocorrencia,Data_da_Ocorrencia,Municipio,UF,Regiao,Descricao_do_Tipo,Historico,Matricula,Categoria_da_Aeronave,Operador,Tipo_de_Ocorrencia,Fase_da_Operacao,Operacao,Danos_a_Aeronave,Lesoes_Fatais_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Leves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Ilesos_Tripulantes,Ilesos_Passageiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Modelo,Numero_de_Assentos,Nome_do_Fabricante,Coordenadas
9882,AEREO AGRICOLA SANTA MARIA - LTDA - EPP,Acidente,18/04/2022,CABECEIRAS,GO,Centro-Oeste,PERDA DE CONTROLE EM VOO,"A aeronave decolou da área de pouso para uso aeroagrícola (APUA) da Fazenda Boa Vista (ZZZZ), no município de Cabeceiras, GO, a fim de realizar voo aeroagrícola, com um piloto a bordo. Durante o procedimento ocorreu a perda de controle e colisão contra o solo na vegetação próxima.",PTWCQ,S05,AEREO AGRICOLA SANTA MARIA - LTDA - EPP,LOC-I,Manobra,Operação Agrícola,Substancial,1.0,,,,,,,,,,,,,,PA-25-235,1.0,PIPER AIRCRAFT,"-15,5953 -47,0957"
9883,AEREO AGRICOLA SANTA MARIA - LTDA - EPP,Acidente,18/04/2022,CABECEIRAS,GO,Centro-Oeste,OPERAÇÃO A BAIXA ALTITUDE,"A aeronave decolou da área de pouso para uso aeroagrícola (APUA) da Fazenda Boa Vista (ZZZZ), no município de Cabeceiras, GO, a fim de realizar voo aeroagrícola, com um piloto a bordo. Durante o procedimento ocorreu a perda de controle e colisão contra o solo na vegetação próxima.",PTWCQ,S05,AEREO AGRICOLA SANTA MARIA - LTDA - EPP,LALT,Manobra,Operação Agrícola,Substancial,1.0,,,,,,,,,,,,,,PA-25-235,1.0,PIPER AIRCRAFT,"-15,5953 -47,0957"
9884,ADRIANA DIAS RIBEIRO,Incidente Grave,10/04/2022,PARANAVAÍ,PR,Sul,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo Tatuí (SDTF), no município de Tatuí, SP, com destino ao Aeródromo Edu Chaves (SSPI), no município de Paranavaí, PR, por volta das 11h00min (UTC) a fim de realizar voo particular com dois pilotos à bordo. Por volta das 12h40min (UTC), durante a realização do pouso ocorreu um recolhimento inadvertido do trem de pouso auxiliar. A aeronave teve danos leves .Os dois pilotos saíram ilesos",PTEUV,TPX,ADRIANA DIAS RIBEIRO,SCF-NP,Pouso,Voo Privado,Leve,,,,,,,,,,2.0,,,,,EMB-810C,6.0,EMBRAER,"-23,0903 -52,4886"
9885,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,Incidente,09/04/2022,MANAUS,AM,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo de Viracopos (SBKP), Campinas, SP, com destino ao Aeródromo Eduardo Gomes (SBEG), Manaus, AM, com 04 (quatro) tripulantes a bordo, a fim de realizar transporte aéreo público regular. Durante a fase de aproximação, a aeronave apresentou a mensagem de falha nos Slat. Após a execução dos procedimentos previstos em manual, a aeronave pousou sem maiores intercorrências.",PRAYJ,TPR,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,SCF-NP,Aproximação,Voo Regular,Nenhum,,,,,,,,,,4.0,,,,,ERJ 190-200 LR,125.0,EMBRAER,"-3,04111 -60,0506"
9886,A. R. T. TAXI AEREO LTDA - ME,Incidente,09/12/2022,RIO BRANCO,AC,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave se encontrava no Aeroporto Plácido de Castro (SBRB), município de Rio Branco, AC, e tinha intenção de realizar voo para o aeródromo de Jordão (SJOD), tendo a bordo dois pilotos e nove passageiros. Durante o taxi no aeródromo de SBRB, foi notado pela tripulação que o pneu do trem principal direito havia furado.",PTMEE,TPX,A. R. T. TAXI AEREO LTDA - ME,SCF-NP,Táxi,Táxi Aéreo,Leve,,,,,,,,,,2.0,9.0,,,,208B,11.0,CESSNA AIRCRAFT,"-9,5206 -67,5353"
9916,EVARISTO TAGLIARI NETO,Incidente Grave,25/11/2022,NONOAI,RS,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou do aeródromo Aeroclube (SSAQ), no município de Passo Fundo, RS, aproximadamente às 13h15min (UTC) a fim de realizar um voo de circuito, com um piloto e um passageiro a bordo.Durante o voo houve perda de rotação do motor e o piloto realizou pouso em pista não homologada.",PPALV,TPP,EVARISTO TAGLIARI NETO,SCF-PP,Subida,Voo Privado,Leve,,,,,,,,,,1.0,1.0,,,,T210R,6.0,CESSNA AIRCRAFT,"-27,2328 -52,4919"
9917,CRISTIANE APARECIDA PARIS TAGLIARI,Incidente Grave,25/11/2022,NONOAI,RS,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou do aeródromo Aeroclube (SSAQ), no município de Passo Fundo, RS, aproximadamente às 13h15min (UTC) a fim de realizar um voo de circuito, com um piloto e um passageiro a bordo.Durante o voo houve perda de rotação do motor e o piloto realizou pouso em pista não homologada.",PPALV,TPP,CRISTIANE APARECIDA PARIS TAGLIARI,SCF-PP,Subida,Voo Privado,Leve,,,,,,,,,,1.0,1.0,,,,T210R,6.0,CESSNA AIRCRAFT,"-27,2328 -52,4919"
9920,AEROCLUBE DE SAO JOSE DO RIO PRETO,Incidente,23/06/2022,SÃO JOSÉ DO RIO PRETO,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A Aeronave decolou do Aeródromo Professor Eriberto Manoel Reino (SBSR), em São José do Rio Preto, SP, para um voo local de instrução com um instrutor e um aluno à bordo. No pouso, ao tentar executar um treinamento de pouso curto, houve aplicação dos freios com força excessiva. Os dois pneus do trem de pouso principal estouraram.",PTCOC,PRI,AEROCLUBE DE SAO JOSE DO RIO PRETO,SCF-NP,Pouso,Voo de Instrução,Leve,,,,,,,,,,2.0,,,,,172G,4.0,CESSNA AIRCRAFT,"-20,8161 -49,4047"
9922,MARIA AUGUSTA TAGLIARI,Incidente Grave,25/11/2022,NONOAI,RS,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou do aeródromo Aeroclube (SSAQ), no município de Passo Fundo, RS, aproximadamente às 13h15min (UTC) a fim de realizar um voo de circuito, com um piloto e um passageiro a bordo.Durante o voo houve perda de rotação do motor e o piloto realizou pouso em pista não homologada.",PPALV,TPP,MARIA AUGUSTA TAGLIARI,SCF-PP,Subida,Voo Privado,Leve,,,,,,,,,,1.0,1.0,,,,T210R,6.0,CESSNA AIRCRAFT,"-27,2328 -52,4919"
9923,CRISTIANO CORRÊA TAGLIARI,Incidente Grave,25/11/2022,NONOAI,RS,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou do aeródromo Aeroclube (SSAQ), no município de Passo Fundo, RS, aproximadamente às 13h15min (UTC) a fim de realizar um voo de circuito, com um piloto e um passageiro a bordo.Durante o voo houve perda de rotação do motor e o piloto realizou pouso em pista não homologada.",PPALV,TPP,CRISTIANO CORRÊA TAGLIARI,SCF-PP,Subida,Voo Privado,Leve,,,,,,,,,,1.0,1.0,,,,T210R,6.0,CESSNA AIRCRAFT,"-27,2328 -52,4919"
